trip_distance(km),quantity(kWh),city,motor_way,country_roads,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,encoded_driving_style,encoded_tire_type
40.3,9.6,0,0,1,12.47,0,0,50,12.47,0,0
20.5,1.8,0,0,1,12.47,1,0,50,12.47,0,0
18.9,7.0,0,0,1,12.47,1,0,50,12.47,0,0
57.0,3.4,0,1,1,12.47,1,0,50,12.47,0,0
41.4,5.8,0,1,0,12.47,1,0,50,12.47,0,0
69.1,6.5,0,1,0,12.47,1,0,50,12.47,0,0
81.5,6.9,0,1,1,12.47,1,0,50,12.47,0,0
47.3,5.71,1,0,1,11.21,0,0,50,11.21,0,0
92.0,10.88,1,0,1,11.21,0,0,50,11.21,0,0
93.5,9.5,1,0,1,11.21,0,0,50,11.21,0,0
73.2,9.54,1,1,1,12.01,0,0,50,12.01,0,0
33.7,3.3,1,0,1,12.01,0,0,50,12.01,0,0
46.9,5.98,1,0,1,11.42,0,0,50,11.42,0,0
94.2,10.14,1,0,1,11.42,0,0,50,11.42,0,0
93.1,10.81,1,0,1,11.61,0,0,50,11.61,0,0
73.1,9.29,1,1,1,12.71,0,0,50,12.71,0,0
47.9,6.65,1,0,1,11.91,0,0,50,11.91,0,0
93.2,10.16,1,0,1,11.91,0,0,50,11.91,0,0
103.0,11.99,1,0,1,11.64,0,0,50,11.64,0,0
77.0,9.29,1,1,1,12.06,0,0,50,12.06,0,0
85.0,10.58,1,1,1,12.45,0,0,50,12.45,0,0
73.6,8.92,1,1,1,12.12,0,0,50,12.12,0,0
78.7,10.65,1,1,1,13.53,1,0,50,13.53,0,0
48.4,5.89,1,0,1,12.17,0,0,50,12.17,0,0
97.2,11.16,1,0,1,11.48,0,0,50,11.48,0,0
97.5,11.58,1,0,1,11.88,0,0,50,11.88,0,0
74.4,9.46,1,1,1,12.72,0,0,50,12.72,0,0
108.4,12.54,1,0,1,11.79,0,0,50,11.79,0,0
55.7,6.8,1,0,1,11.79,0,0,50,11.79,0,0
113.2,13.03,1,0,1,11.51,0,0,50,11.51,0,0
2.8,5.89,1,0,0,12.93,0,0,50,12.93,0,0
71.2,3.68,1,1,1,12.93,1,0,50,12.93,0,0
103.0,13.81,1,0,1,11.96,0,0,50,11.96,0,0
108.6,11.5,1,0,1,11.96,0,0,50,11.96,0,0
51.8,6.53,1,0,1,12.61,0,0,50,12.61,0,0
67.0,8.48,0,1,1,12.66,0,0,50,12.66,0,0
10.9,14.61,0,0,1,12.57,0,0,50,12.57,1,0
101.1,1.39,0,1,1,12.57,0,0,50,12.57,1,0
38.4,2.91,1,1,1,12.57,0,0,50,12.57,0,0
97.5,11.87,1,0,1,12.17,0,0,50,12.17,0,0
111.3,12.95,1,0,1,11.64,0,0,50,11.64,0,0
99.7,12.46,1,1,1,12.5,0,0,50,12.5,0,0
65.8,8.83,1,0,1,12.13,0,0,50,12.13,0,0
78.1,8.63,1,0,1,12.13,0,0,50,12.13,0,0
69.4,8.67,1,1,1,12.49,0,0,50,12.49,0,0
55.0,12.54,0,1,1,11.14,0,0,50,11.14,0,0
69.4,5.01,0,1,0,11.14,0,0,50,11.14,0,0
33.6,3.6,0,1,0,11.14,0,0,50,11.14,0,0
79.5,9.58,0,1,0,11.14,0,0,50,11.14,0,0
40.1,6.51,1,1,0,11.14,0,0,50,11.14,0,0
71.4,4.49,0,1,0,11.14,0,0,50,11.14,0,0
74.8,8.35,0,1,0,11.14,0,0,50,11.14,0,0
59.4,7.88,0,1,0,11.14,0,0,50,11.14,0,0
63.3,7.1,0,1,0,11.14,0,0,50,11.14,0,0
41.9,5.01,0,1,0,11.14,0,0,50,11.14,0,0
61.5,6.14,0,1,0,11.14,0,0,50,11.14,0,0
100.6,7.39,1,1,0,11.14,0,0,50,11.14,0,0
