trip_distance(km),quantity(kWh),city,motor_way,country_roads,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,encoded_driving_style,encoded_tire_type
88.1,16.0,1,0,1,18.9,0,0,35.1,7.799999999999999,1,0
104.5,19.0,1,0,1,18.5,0,0,33.3,7.4,1,0
114.0,18.0,1,0,1,16.3,0,0,26.3,5.200000000000001,1,0
157.3,28.0,1,0,1,17.9,0,0,40.6,6.799999999999999,1,0
118.3,20.0,1,0,1,17.3,0,0,35.1,6.200000000000001,1,0
195.7,31.0,1,0,1,16.3,0,0,36.5,5.200000000000001,1,0
196.6,30.0,1,0,1,15.3,0,0,40.7,4.200000000000001,1,0
91.2,14.0,1,0,1,15.7,0,0,44.0,4.6,1,0
44.7,6.0,1,0,1,14.1,0,0,44.7,3.0,1,0
45.8,6.0,1,0,1,14.8,0,0,45.9,3.700000000000001,1,0
120.4,17.0,1,0,1,14.9,0,0,34.5,3.8000000000000007,1,0
89.6,13.0,1,0,1,14.6,0,0,43.6,3.5,1,0
195.7,28.0,1,0,1,14.4,0,0,43.3,3.3000000000000007,1,0
195.5,27.0,1,0,1,13.9,0,0,41.6,2.8000000000000007,1,0
46.8,7.0,1,0,1,14.9,0,0,58.2,3.8000000000000007,1,0
5.2,7.75,1,0,0,13.4,0,0,20.6,2.3000000000000007,1,0
116.0,15.0,1,0,1,13.4,0,0,43.1,2.3000000000000007,1,0
140.3,19.0,1,0,1,14.1,0,0,42.7,3.0,1,0
166.9,24.0,1,0,1,14.6,0,0,36.4,3.5,1,0
105.2,15.0,1,0,1,15.0,0,0,43.5,3.9,1,0
80.6,11.0,1,0,1,13.7,0,0,33.5,2.6,1,0
24.3,3.0,1,0,0,12.3,0,0,31.3,1.200000000000001,1,0
222.4,30.0,1,0,1,13.5,0,0,43.2,2.4000000000000004,1,0
42.4,5.0,1,0,1,12.3,0,0,39.4,1.200000000000001,1,0
54.8,7.0,1,0,1,13.2,0,0,46.3,2.1,1,0
121.5,17.0,1,0,1,14.0,1,0,51.8,2.9000000000000004,1,0
129.1,17.0,1,0,1,13.8,1,0,48.7,2.700000000000001,1,0
44.6,5.0,1,0,0,12.3,1,0,35.3,1.200000000000001,1,0
33.8,4.0,1,0,1,12.0,1,0,29.2,0.9000000000000004,1,0
82.1,10.0,1,0,1,13.1,1,0,48.2,2.0,1,0
219.9,30.0,0,1,1,13.9,1,0,55.6,2.8000000000000007,0,0
44.7,6.0,1,0,1,14.5,1,0,47.2,3.4000000000000004,1,0
64.0,8.0,1,0,1,12.8,1,0,40.3,1.700000000000001,1,0
180.2,32.0,0,1,1,17.9,1,0,73.7,6.799999999999999,2,0
154.8,20.0,0,1,1,13.1,1,0,65.7,2.0,1,0
116.7,16.0,1,0,1,14.0,1,0,41.2,2.9000000000000004,1,0
74.9,10.0,1,0,1,13.8,1,0,49.9,2.700000000000001,1,0
44.7,6.0,1,0,1,15.3,1,0,47.3,4.200000000000001,1,0
56.1,7.0,1,0,1,13.7,1,0,40.7,2.6,1,0
79.1,10.0,1,1,1,13.5,1,0,38.1,2.4000000000000004,1,0
50.5,7.0,1,0,1,13.3,1,0,46.1,2.200000000000001,1,0
124.7,16.0,1,0,1,13.0,1,0,48.0,1.9000000000000004,1,0
70.8,9.0,1,0,1,12.8,0,0,37.7,1.700000000000001,1,0
71.2,9.0,1,0,1,13.5,1,0,36.8,2.4000000000000004,1,0
111.3,13.0,1,0,1,12.1,1,0,37.1,1.0,1,0
25.8,3.0,1,0,1,13.4,1,0,36.1,2.3000000000000007,1,0
30.0,3.0,1,0,1,12.4,1,0,38.5,1.3000000000000007,1,0
17.9,2.0,1,0,1,11.6,1,0,35.8,0.5,1,0
135.4,17.0,1,0,1,12.8,1,0,36.5,1.700000000000001,1,0
263.4,38.0,0,1,1,14.4,1,0,69.1,3.3000000000000007,1,0
45.7,7.0,1,0,1,16.6,1,0,42.0,5.500000000000002,0,0
122.7,18.0,1,0,1,14.7,1,0,59.3,3.6,0,0
16.0,2.0,1,0,1,13.6,0,0,40.1,2.5,1,0
44.8,6.0,1,0,1,13.9,0,0,50.3,2.8000000000000007,1,0
82.2,10.0,1,0,1,12.9,0,0,40.7,1.8000000000000007,1,0
38.6,4.0,1,0,1,12.8,0,0,47.3,1.700000000000001,1,0
44.7,6.0,1,0,1,13.9,0,0,45.3,2.8000000000000007,1,0
144.9,19.0,1,0,1,13.2,0,0,44.6,2.1,1,0
47.2,6.0,1,1,0,13.4,0,0,56.5,2.3000000000000007,1,0
104.7,14.0,1,0,1,13.8,0,0,40.7,2.700000000000001,1,0
44.7,6.0,1,0,1,14.4,0,0,46.9,3.3000000000000007,1,0
54.5,7.0,1,0,1,12.8,0,0,43.5,1.700000000000001,1,0
56.0,7.0,1,0,1,12.7,0,0,35.2,1.5999999999999996,1,0
162.1,21.0,1,0,1,13.2,0,0,39.6,2.1,1,0
83.8,11.0,1,0,1,14.1,0,0,43.0,3.0,1,0
150.0,19.0,1,0,1,13.6,0,0,43.4,2.5,1,0
76.5,10.0,1,0,1,13.9,0,0,41.7,2.8000000000000007,1,0
84.9,13.0,1,0,1,15.5,0,0,43.1,4.4,1,0
107.5,17.0,1,0,1,16.3,0,0,45.3,5.200000000000001,1,0
60.2,10.0,1,0,1,17.9,0,0,44.9,6.799999999999999,1,0
116.0,17.0,1,0,1,14.7,0,0,43.3,3.6,1,0
9.8,1.0,1,0,0,12.2,0,0,30.3,1.0999999999999996,1,0
