trip_distance(km),quantity(kWh),city,motor_way,country_roads,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,encoded_driving_style,encoded_tire_type
239.0,14.77,1,1,1,21.61,1,1,50,-3.5,1,1
200.0,26.2,1,1,1,21.75459987,1,1,50,-2.84540013,1,1
139.0,30.7,1,1,1,21.75459987,1,1,50,-2.84540013,1,1
281.0,67.0,1,1,1,21.75459987,1,1,50,-2.84540013,1,1
11.0,12.5,1,1,1,21.75459987,1,1,50,-2.84540013,1,1
330.0,46.7,1,1,1,21.75459987,1,1,50,-2.84540013,1,1
62.0,22.6,1,1,1,21.75459987,1,1,50,-2.84540013,1,1
290.0,45.0,1,1,1,21.75459987,1,1,50,-2.84540013,1,1
139.0,30.0,1,1,1,21.75459987,1,1,50,-2.84540013,1,1
244.0,63.5,1,1,1,21.17,1,1,50,-3.4299999999999997,1,1
288.0,55.8,1,1,1,21.17,1,1,50,-3.4299999999999997,1,1
9.0,14.9,1,1,1,21.17,1,1,50,-3.4299999999999997,1,1
240.0,35.9,1,1,1,21.17,1,1,50,-3.4299999999999997,1,1
171.0,39.7,1,1,1,21.17,1,1,50,-3.4299999999999997,1,1
242.0,51.6,1,1,1,21.17,1,1,50,-3.4299999999999997,1,1
242.0,42.6,1,1,1,21.17,1,1,50,-3.4299999999999997,1,1
245.0,69.3,1,1,1,22.31,1,1,50,-2.289999999999999,1,1
376.0,81.5,1,1,1,22.31,1,1,50,-2.289999999999999,1,1
158.0,41.2,1,1,1,22.31,1,1,50,-2.289999999999999,1,1
183.0,42.2,1,1,1,22.31,1,1,50,-2.289999999999999,1,1
305.0,54.3,1,1,1,22.31,1,1,50,-2.289999999999999,1,1
335.0,68.2,1,1,1,22.31,1,1,50,-2.289999999999999,1,1
210.0,42.3,1,1,1,22.31,1,1,50,-2.289999999999999,1,1
168.0,44.3,1,1,1,22.31,1,1,50,-2.289999999999999,1,1
168.0,44.3,1,1,1,22.31,1,1,50,-2.289999999999999,1,1
